NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
01264,1,26,pieces,95,1,nan
01265,1,1,serving,28,1,nan
01266,1,1,serving,28,nan,nan
01267,1,2,tsp,5,1,nan
01270,1,1,slice (2/3 oz),19,nan,nan
01270,2,1,slice (3/4 oz),21,nan,nan
01270,3,1,slice (1 oz),28,nan,nan
01271,1,1,cup,86,32,7.49
01275,1,5.30,oz,150,nan,nan
01276,1,5.30,oz,150,nan,nan
01278,1,5.30,oz,150,nan,nan
01280,1,5.30,oz,150,nan,nan
01284,1,1,container (5.3 oz),150,nan,nan
01284,2,1,cup (8 fl oz),245,nan,nan
01284,3,1,container (6 oz),170,nan,nan
01284,4,1,container (8 oz),227,nan,nan
01284,5,1,"container, Dannon Sprinkl'ins (4.1 oz)",116,nan,nan
01284,6,0,container (4 oz),113,nan,nan
01285,1,1,container (5.3 oz),150,nan,nan
01286,1,1,container (5.3 oz),150,nan,nan
01287,1,1,container (7 oz),200,nan,nan
01289,1,1,cup,243,1,nan
01289,2,1,bottle,971,10,nan
01290,1,1,cup,247,1,nan
01290,2,1,bottle,989,10,nan
01291,1,1,cup,252,nan,nan
01291,2,1,fl oz,31.50,nan,nan
01291,3,1,can (13 oz),369,nan,nan
01291,4,0.50,cup,126,nan,nan
01292,1,1,cup,250,nan,nan
01292,2,1,fl oz,31.20,nan,nan
01292,3,1,quart,1000,nan,nan
01295,1,1,cup (8 fl oz),245,nan,nan
01295,2,1,container (8 oz),227,nan,nan
01295,3,0.50,container (4 oz),113,nan,nan
02001,1,1,tsp,1.90,nan,nan
02001,2,1,tbsp,6,nan,nan
02002,1,1,"tsp, whole",2.10,nan,nan
02002,2,1,"tbsp, whole",6.70,nan,nan
02003,1,1,"tsp, leaves",0.70,13,nan
02003,2,1,"tbsp, leaves",2.10,30,0.12
02003,3,1,"tsp, ground",1.40,nan,nan
02003,4,1,"tbsp, ground",4.50,nan,nan
02004,1,1,"tsp, crumbled",0.60,nan,nan
02004,2,1,"tbsp, crumbled",1.80,nan,nan
02005,1,1,tsp,2.10,nan,nan
02005,2,1,tbsp,6.70,nan,nan
02006,1,1,"tsp, ground",2,nan,nan
02006,2,1,"tbsp, ground",5.80,nan,nan
02007,1,1,tsp,2,nan,nan
02007,2,1,tbsp,6.50,nan,nan
02008,1,1,tsp,0.60,nan,nan
02008,2,1,tbsp,1.90,nan,nan
02009,1,1,tsp,2.70,33,nan
02009,2,1,tbsp,8,30,0.10
02010,1,1,tsp,2.60,13,0.13
02010,2,1,tbsp,7.80,12,0.28
02011,1,1,tsp,2.10,30,0.12
02011,2,1,tbsp,6.50,30,0.16
02012,1,1,tsp,0.60,nan,nan
02012,2,1,tbsp,1.80,nan,nan
02013,1,1,tsp,1.80,nan,nan
02013,2,1,tbsp,5,nan,nan
02014,1,1,"tsp, whole",2.10,nan,nan
02014,2,1,"tbsp, whole",6,nan,nan
02015,1,1,tsp,2,nan,nan
02015,2,1,tbsp,6.30,nan,nan
02016,1,1,tsp,2.10,nan,nan
02016,2,1,tbsp,6.60,nan,nan
02017,1,1,tsp,1,nan,nan
02017,2,1,tbsp,3.10,nan,nan
02018,1,1,"tsp, whole",2,nan,nan
02018,2,1,"tbsp, whole",5.80,nan,nan
02019,1,1,tsp,3.70,nan,nan
02019,2,1,tbsp,11.10,nan,nan
02020,1,1,tsp,3.10,50,0.06
02020,2,1,tbsp,9.70,20,0.07
02021,1,1,tsp,1.80,33,nan
02021,2,1,tbsp,5.20,30,0.15
02022,1,1,tsp,1.70,nan,nan
02022,2,1,tbsp,5.30,nan,nan
02023,1,1,tsp,0.60,nan,nan
02023,2,1,tbsp,1.70,nan,nan
02024,1,1,tsp,2,3,0.11
02024,2,1,tbsp,6.30,60,0.46
02025,1,1,tsp,2.20,nan,nan
02025,2,1,tbsp,7,nan,nan
02026,1,1,tsp,2.40,10,0.04
02026,2,1,tbsp,6.90,10,0.12
02027,1,1,"tsp, leaves",1,10,0.03
02027,2,1,"tsp, ground",1.80,10,0.05
02028,1,1,tsp,2.30,23,nan
02028,2,1,tbsp,6.80,20,0.19
02029,1,1,tsp,0.50,13,nan
02029,2,1,tbsp,1.60,30,0.16
02030,1,1,"tsp, ground",2.30,63,nan
02030,2,1,"tbsp, ground",6.90,60,nan
02030,3,1,"tsp, whole",2.90,3,0.10
